"No.","Time","Source","Destination","Protocol","Length","Info","TimeDiff","SPort","DPort"
"2118","302.513228764","PcsCompu_bd:40:f6","Broadcast","ARP","42","Who has 192.168.0.253? Tell 192.168.0.218","0.000017429","",""
"2119","303.009211302","DESKTOP-GSL42P0.local","192.168.0.255","UDP","305","54915  >  54915 Len=263","0.495982538","54915","54915"
"2120","303.455397827","PcsCompu_bd:40:f6","Broadcast","ARP","42","Who has 192.168.0.216? Tell 192.168.0.218","0.446186525","",""
"2121","303.487607210","PcsCompu_bd:40:f6","Broadcast","ARP","42","Who has 192.168.0.114? Tell 192.168.0.218","0.032209383","",""
"2122","303.519811715","PcsCompu_bd:40:f6","Broadcast","ARP","42","Who has 192.168.0.253? Tell 192.168.0.218","0.032204505","",""
"2123","304.011544047","DESKTOP-GSL42P0.local","192.168.0.255","UDP","305","54915  >  54915 Len=263","0.491732332","54915","54915"
"2124","304.479201630","PcsCompu_bd:40:f6","Broadcast","ARP","42","Who has 192.168.0.216? Tell 192.168.0.218","0.467657583","",""
"2125","304.511441705","PcsCompu_bd:40:f6","Broadcast","ARP","42","Who has 192.168.0.114? Tell 192.168.0.218","0.032240075","",""
"2126","304.543616341","PcsCompu_bd:40:f6","Broadcast","ARP","42","Who has 192.168.0.253? Tell 192.168.0.218","0.032174636","",""
"2127","304.552896246","192.168.0.73","192.168.0.218","UDP","60","49952  >  80 Len=0","0.009279905","49952","80"
"2128","304.552910172","PcsCompu_bd:40:f6","Broadcast","ARP","42","Who has 192.168.0.73? Tell 192.168.0.218","0.000013926","",""
"2129","304.581228185","192.168.0.173","192.168.0.218","TCP","60","35240  >  80 [SYN] Seq=0 Win=8192 Len=0","0.028318013","35240","80"
"2130","304.581241937","PcsCompu_bd:40:f6","Broadcast","ARP","42","Who has 192.168.0.173? Tell 192.168.0.218","0.000013752","",""
"2131","305.009967971","DESKTOP-GSL42P0.local","192.168.0.255","UDP","305","54915  >  54915 Len=263","0.428726034","54915","54915"
"2132","305.567417898","PcsCompu_bd:40:f6","Broadcast","ARP","42","Who has 192.168.0.73? Tell 192.168.0.218","0.557449927","",""
"2133","305.599626560","PcsCompu_bd:40:f6","Broadcast","ARP","42","Who has 192.168.0.173? Tell 192.168.0.218","0.032208662","",""
"2134","306.013257578","DESKTOP-GSL42P0.local","192.168.0.255","UDP","305","54915  >  54915 Len=263","0.413631018","54915","54915"
"2135","306.591225141","PcsCompu_bd:40:f6","Broadcast","ARP","42","Who has 192.168.0.73? Tell 192.168.0.218","0.577967563","",""
"2136","306.617148588","192.168.0.233","192.168.0.218","UDP","60","47473  >  80 Len=0","0.025923447","47473","80"
"2137","306.617165405","PcsCompu_bd:40:f6","Broadcast","ARP","42","Who has 192.168.0.233? Tell 192.168.0.218","0.000016817","",""
"2138","306.628307229","PcsCompu_bd:40:f6","Broadcast","ARP","42","Who has 192.168.0.173? Tell 192.168.0.218","0.011141824","",""
"2139","306.647440030","192.168.0.167","192.168.0.218","TCP","60","2360  >  80 [SYN] Seq=0 Win=8192 Len=0","0.019132801","2360","80"
"2140","306.647456993","PcsCompu_bd:40:f6","Broadcast","ARP","42","Who has 192.168.0.167? Tell 192.168.0.218","0.000016963","",""
"2141","307.008786498","DESKTOP-GSL42P0.local","192.168.0.255","UDP","305","54915  >  54915 Len=263","0.361329505","54915","54915"
"2142","307.647262254","PcsCompu_bd:40:f6","Broadcast","ARP","42","Who has 192.168.0.233? Tell 192.168.0.218","0.638475756","",""
"2143","307.679458736","PcsCompu_bd:40:f6","Broadcast","ARP","42","Who has 192.168.0.167? Tell 192.168.0.218","0.032196482","",""
"2144","307.686847836","192.168.0.251","192.168.0.218","UDP","60","44826  >  80 Len=0","0.007389100","44826","80"
"2145","307.686859521","PcsCompu_bd:40:f6","Broadcast","ARP","42","Who has 192.168.0.251? Tell 192.168.0.218","0.000011685","",""
"2146","308.013052224","DESKTOP-GSL42P0.local","192.168.0.255","UDP","305","54915  >  54915 Len=263","0.326192703","54915","54915"
"2147","308.186291370","a2:9c:aa:76:69:49","Broadcast","XID","60","Basic Format; Type 1 LLC (Class I LLC); Window Size 1","0.173239146","",""
"2148","308.186291522","D680.local","Broadcast","XID","60","Basic Format; Type 1 LLC (Class I LLC); Window Size 1","0.000000152","",""
"2149","308.186291534","f6:c7:24:08:96:ca","Broadcast","XID","60","Basic Format; Type 1 LLC (Class I LLC); Window Size 1","0.000000012","",""
"2150","308.186356031","SamsungE_c9:0b:80","Broadcast","XID","60","Basic Format; Type 1 LLC (Class I LLC); Window Size 1","0.000064497","",""
"2151","308.186356052","Arcadyan_3e:93:34","Broadcast","XID","60","Basic Format; Type 1 LLC (Class I LLC); Window Size 1","0.000000021","",""
"2152","308.186356065","SamsungE_d0:f5:75","Broadcast","XID","60","Basic Format; Type 1 LLC (Class I LLC); Window Size 1","0.000000013","",""
"2153","308.672008547","PcsCompu_bd:40:f6","Broadcast","ARP","42","Who has 192.168.0.233? Tell 192.168.0.218","0.485652482","",""
